zone,predictor,horizon,target_coverage,price_id,price_ratio,method,n,window_count,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,relative_excess,overall_gap_pp,TUWR_pct
zone1,GBR,1,0.8,R01,1.0,ACI,8472,7971,1.2570523956609128,1.2238570898581949,0.03319530580271763,0.8686260623229461,0.3437800814208413,0.43702532243971104,0.0,0.6507339104252917,0.06712099216803767,0.0,0.06712099216803767,17.422815541800517,6.86260623229461,0.0
zone1,GBR,1,0.8,R01,1.0,AgACI,8472,7971,1.3434327222026714,1.313906548023167,0.029526174179504417,0.8764164305949008,0.36907487304021547,0.4520135645556774,0.0,0.7527286413248024,0.07471996702331662,0.0,0.07471996702331662,25.491708441543647,7.641643059490077,0.0
zone1,GBR,1,0.8,R01,1.0,EEE,8472,7971,1.1890879043057183,1.151315609250111,0.03777229505560766,0.8332152974504249,0.323403261025312,0.42950521342870435,0.019947308995107264,0.2536695521264584,0.04374115095793678,0.006495420900765284,0.0372457300571715,11.074168532860696,3.321529745042484,1.9947308995107265
zone1,GBR,1,0.8,R01,1.0,EnbPI-RH,8472,7971,1.0958544171314473,1.047891438514747,0.04796297861670014,0.80842776203966,0.29435152767268175,0.42907899569712044,0.11441475348136997,0.10914565299209635,0.03743077584816387,0.016526426151943666,0.020904349696220202,2.365113441304767,0.8427762039660003,11.441475348136997
zone1,GBR,1,0.8,R01,1.0,Static,8472,7971,1.0705350487984369,1.0196073606043339,0.05092768819410286,0.7900141643059491,0.28640656196750947,0.4294618658835287,0.2171622130222055,0.039518253669552125,0.041263419180242664,0.027278348298295632,0.013985070881947037,0.0,-0.9985835694050982,21.71622130222055
zone1,GBR,1,0.8,R01,1.0,TSC,8472,7971,1.224885333178791,1.1899072385555323,0.03497809462325883,0.8643767705382436,0.33424360633582373,0.43249668112025863,0.0,0.5137372977041776,0.06295365342222695,8.961055253866663e-07,0.06295275731670155,14.418050539643335,6.437677053824354,0.0
zone1,GBR,1,0.9,R01,1.0,ACI,8472,7971,1.577812407507479,1.5620511586867147,0.01576124882076445,0.9373229461756374,0.4387784153614367,0.5273247570511248,0.0,0.38389160707564923,0.036723748588633774,0.00012097424592719996,0.03660277434270656,13.933048893460143,3.732294617563736,0.0
zone1,GBR,1,0.9,R01,1.0,AgACI,8472,7971,1.658864293994952,1.6447093113928561,0.01415498260209561,0.94157223796034,0.461996997582263,0.5415193717513392,0.0,0.45389537071885583,0.04077190529956805,0.0,0.04077190529956805,19.7857652887333,4.157223796033993,0.0
zone1,GBR,1,0.9,R01,1.0,EEE,8472,7971,1.5092591083862,1.4913372782419105,0.017921830144289056,0.9231586402266289,0.41891496579828946,0.5195994048111494,0.03462551750094091,0.22393677079412871,0.03215495456744985,0.005201444522106928,0.026953510045342917,8.98284927313191,2.3158640226628835,3.4625517500940908
zone1,GBR,1,0.9,R01,1.0,EnbPI-RH,8472,7971,1.4212362874058377,1.398572435603818,0.022663851802019498,0.9043909348441926,0.39285742573140964,0.5201824358551147,0.10651110274745954,0.11592021076401957,0.029234546660214706,0.013412459451224986,0.01582208720898972,2.6267651665691005,0.43909348441926177,10.651110274745953
zone1,GBR,1,0.9,R01,1.0,Static,8472,7971,1.3848592860732676,1.3600162072842532,0.024843078789014282,0.896600566572238,0.38202702451804865,0.5215948828832975,0.14264207753105002,0.07677832141512984,0.03108590067566357,0.01847814398623583,0.012607756689427738,0.0,-0.3399433427762055,14.264207753105001
zone1,GBR,1,0.9,R01,1.0,TSC,8472,7971,1.5374563932697758,1.520388345105506,0.0170680481642702,0.9344900849858357,0.42707537783862526,0.5229632888738511,0.0,0.3120060218291306,0.033921626610749656,0.00022537053963474704,0.03369625607111491,11.018961184799746,3.4490084985835723,0.0
zone1,GBR,1,0.95,R01,1.0,ACI,8472,7971,1.9149802212020937,1.907887620407981,0.007092600794112582,0.9663597733711048,0.5359234888786465,0.6156156326327203,0.0,0.042905532555513735,0.01668682904098791,0.0004847930892341865,0.016202035951753718,12.736021691756228,1.6359773371104835,0.0
zone1,GBR,1,0.95,R01,1.0,AgACI,8472,7971,1.9769805429445233,1.9707246349927243,0.006255907951799091,0.9702549575070821,0.5535743356721136,0.6238654362541258,0.0,0.06548739179525781,0.019769432048318047,0.00015995483628151994,0.01960947721203653,16.38601741466912,2.025495750708217,0.0
zone1,GBR,1,0.95,R01,1.0,EEE,8472,7971,1.8354916644958454,1.8271493513601633,0.008342313135682,0.9564447592067988,0.5132441998202706,0.6069780552773717,0.060971019947308996,0.04328189687617614,0.01670475115149562,0.0055769127372439255,0.011127838414251696,8.056483201558784,0.6444759206798878,6.0971019947309
zone1,GBR,1,0.95,R01,1.0,EnbPI-RH,8472,7971,1.7549051608169244,1.7440917481336742,0.010813412683250269,0.9483002832861189,0.48991341239709957,0.6114124313100238,0.1663530297327813,0.057583741061347386,0.019686990339982433,0.011396222019104948,0.008290768320877486,3.312307921718727,-0.16997167138810276,16.63530297327813
