price_id,subset,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,conditions_with_cost,conditions_with_TUWR,event_count,below_floor_count,below_floor_pct,delta_ERRF_pct,delta_TUWR_pp,delta_below_floor_pp,delta_capacity_contribution_pct,delta_exceedance_contribution_pct,ERRF_change_pct_CI_low,ERRF_change_pct_CI_high,TUWR_change_pp_CI_low,TUWR_change_pp_CI_high,zones_with_higher_ERRF
R20,supported,NO_BACKOFF_EXACT,4.8327348030078756,1.7102368272563191,3.1224979757515579,0.69068103880142762,0.47957526732290762,0.029779743573728597,0.66815582785061811,0.11408336577971616,0.0025002992937179927,0.11158306648599817,2031,2031,20586419,0,0,0,-0.00029839949409957156,0,0,0,0,0,-0.0068944349169895048,0.0065198066556648405,0
ALL,supported,CLARA,2.8201801172432925,1.559892866266203,1.2602872509770902,0.63978555133449277,0.43734383571953189,0.10385242893411203,0.42484453054395954,0.084168099670759222,0.013244569313136459,0.070923530357622749,10155,10155,102936265,406,4.2909575121292942,0,0,0,0,0,0,0,0,0,0
ALL,supported,NO_BACKOFF_EXACT,2.8201801172432925,1.559892866266203,1.2602872509770902,0.63978555133449277,0.43734383571953189,0.10380640730671457,0.42481406521851983,0.084156926461607356,0.013238698284720254,0.070918228176887088,10155,10155,102936265,406,4.2909575121292942,0,-0.0046021627397460629,0,0,0,0,0,-0.0093403649787160391,-0.00085710033265330797,0
R01,zero,CLARA,1.7505680910725516,1.5390616319578867,0.21150645911466545,0.65236058886612591,0.43127084256976411,0.033492949016876196,0.15433855053515239,0.041769108292882939,0.010438360394612061,0.03133074789827088,101,101,30853,36,29.191919191919197,0,0,0,0,0,,,,,0
R01,zero,NO_BACKOFF_EXACT,1.7136400584993563,1.4885168180586632,0.2251232404406931,0.62737064781415675,0.41707286113739805,0.043390740459423101,0.2090512806285946,0.044688072103155889,0.01146604511543459,0.033222026987721295,101,101,30853,48,37.275252525252526,-2.1094885004198871,0.98977914425469049,8.0833333333333286,-2.8873377823455759,0.77784928192566383,,,,,2
R02,zero,CLARA,1.9457678198232036,1.5159042136383261,0.42986360618487768,0.6333418478384254,0.42476594978337073,0.14177582136973796,0.19877130502208332,0.053394599838869052,0.020561467488361289,0.032833132350507756,101,101,30853,36,38.684343434343432,0,0,0,0,0,,,,,0
R02,zero,NO_BACKOFF_EXACT,1.9387632989400494,1.4885168180586632,0.45024648088138619,0.62737064781415675,0.41707286113739805,0.052326275503829109,0.22716258882072324,0.04754643832032858,0.01270052939851693,0.03484590892181165,101,101,30853,48,37.275252525252526,-0.35998749757258919,-8.9449545865908853,-1.4090909090909065,-1.4075366701331986,1.0475491725606059,,,,,3
R05P6179775281,zero,CLARA,2.6405245289506141,1.6556765404821725,0.98484798846844124,0.65754413324190042,0.46402783934624897,0.11377112328169936,0.47586795763940148,0.080171221093754241,0.011984663899851424,0.068186557193902819,101,101,30853,26,29.005050505050502,0,0,0,0,0,,,,,0
R05P6179775281,zero,NO_BACKOFF_EXACT,2.7532541239052533,1.4885168180586632,1.2647373058465907,0.62737064781415675,0.41707286113739805,0.033471958466156596,0.41331339890504548,0.068405979029914937,0.0073984314005857811,0.06100754762932916,101,101,30853,48,37.275252525252526,4.2692121856349408,-8.0299164815542756,8.2702020202020243,-6.3305498809337397,10.599762066568717,,,,,7
R10,zero,CLARA,3.3536831231067152,1.7663232076009439,1.5873599155057723,0.71610837287941098,0.49510836381781392,0.010410390584656367,0.72159890659293913,0.10388837776492887,0.0011697439776362692,0.10271863378729262,101,101,30853,17,22.290404040404042,0,0,0,0,0,,,,,0
R10,zero,NO_BACKOFF_EXACT,3.7397492224655942,1.4885168180586632,2.2512324044069318,0.62737064781415675,0.41707286113739805,0.023195356413238756,0.61551664897722447,0.091547204065797153,0.0048012322533794779,0.086745971812417694,101,101,30853,48,37.275252525252526,11.511704749291972,1.2784965828582389,14.984848484848484,-8.2836207042999384,19.795325453591904,,,,,9
R20,zero,CLARA,5.0246412208371307,1.8008634731112316,3.2237777477258982,0.71042343465013835,0.50481068559036679,0.0096874358348811203,0.77389136037729556,0.11215310581854795,0.0010256949250312911,0.11112741089351666,101,101,30853,21,28.199494949494952,0,0,0,0,0,,,,,0
R20,zero,NO_BACKOFF_EXACT,5.9909816268725269,1.4885168180586632,4.5024648088138637,0.62737064781415675,0.41707286113739805,0.022477653063956458,0.67285905010909364,0.10028906546643952,0.0046991157952047478,0.09558994967123477,101,101,30853,48,37.275252525252526,19.232027990933819,1.2790217229075338,9.0757575757575744,-6.2162976683244633,25.448325659258309,,,,,9
ALL,zero,CLARA,2.9430369567580437,1.6555658133581121,1.2874711433999313,0.67395567549520019,0.46399673622151294,0.0618275440175702,0.46489361603337437,0.078275282561796597,0.0090359861370984673,0.069239296424698143,505,505,154265,136,29.474242424242426,0,0,0,0,0,,,,,0
ALL,zero,NO_BACKOFF_EXACT,3.2272776661365556,1.4885168180586632,1.7387608480778929,0.62737064781415663,0.41707286113739805,0.034972396781320803,0.42758059348813626,0.070495351797127209,0.0082130707926243059,0.062282281004502907,505,505,154265,240,37.275252525252526,9.6580747559358748,-2.6855147236249399,7.8010101010100996,-5.6760753518863334,15.334150107822229,,,,,9
