zone_or_farm,price_id,method,rank,excess
zone6,R20,ACI,4.0590909090909095,3.8427615238167929
zone6,R20,AgACI,2.7545454545454544,0.71197154536072538
zone6,R20,CART,5.5681818181818183,6.8079136787558348
zone6,R20,CLARA,1.9681818181818185,0.24799971364936599
zone6,R20,EEE,5.3545454545454554,7.2589261069496578
zone6,R20,EnbPI-RH,7.6909090909090896,17.27354010240758
zone6,R20,LinUCB,4.7000000000000002,4.5224901431127176
zone6,R20,Static,7.8499999999999996,18.636781219997541
zone6,R20,TSC,5.0545454545454547,6.0265458063199775
zone7,R01,ACI,7.9954545454545451,23.894293700055179
zone7,R01,AgACI,8.8954545454545446,33.24900116971201
zone7,R01,CART,5.0363636363636362,13.234330192648349
zone7,R01,CLARA,2.8909090909090911,4.4445062913449673
zone7,R01,EEE,5.5590909090909095,15.05914590547002
zone7,R01,EnbPI-RH,3.918181818181818,6.6317970885659561
zone7,R01,LinUCB,2.6590909090909092,2.5348452990612445
zone7,R01,Static,1.259090909090909,0.16420982379908591
zone7,R01,TSC,6.7863636363636362,18.999231953435238
zone7,R02,ACI,8.0090909090909097,13.87321860429328
zone7,R02,AgACI,8.8954545454545446,20.019582140955372
zone7,R02,CART,5.0272727272727273,7.3572395852180401
zone7,R02,CLARA,2.8522727272727271,3.0700371954794421
zone7,R02,EEE,5.3090909090909095,8.0480220334182668
zone7,R02,EnbPI-RH,3.3818181818181818,3.8006685570611278
zone7,R02,LinUCB,3.5363636363636362,3.7054584063346159
zone7,R02,Static,1.2295454545454545,0.11590927728007169
zone7,R02,TSC,6.7590909090909088,10.693767491200658
zone7,R05P6179775281,ACI,6.2318181818181815,4.7029630969196914
zone7,R05P6179775281,AgACI,6.9022727272727273,6.8141937763884561
zone7,R05P6179775281,CART,3.0681818181818183,1.0214137657794364
zone7,R05P6179775281,CLARA,2.7772727272727278,1.2350771628271131
zone7,R05P6179775281,EEE,4.5954545454545457,2.9379465207562165
