scope,metric,baseline,clara_mean,baseline_mean,difference,ci_low,ci_high,sign_flip_p,n_zones,bootstrap_draws,bootstrap_seed,relative_difference_pct,relative_ci_low_pct,relative_ci_high_pct,holm_p
Rref,tuwr,AgACI,0.07442569392861638,0.013179207396198286,0.061246486532418064,0.0533000259951159,0.0705801108948871,0.001953125,10,10000,20260925,,,,0.017578125
Rref,tuwr,EnbPI-RH,0.07442569392861638,0.16746835374419258,-0.0930426598155762,-0.09912987602038162,-0.08716918902347456,0.001953125,10,10000,20260925,,,,0.017578125
Rref,tuwr,TSC,0.07442569392861638,0.017047101747731205,0.05737859218088516,0.04966013653625922,0.06636902005813947,0.001953125,10,10000,20260925,,,,0.017578125
Rref,tuwr,EEE,0.07442569392861638,0.07920130117183244,-0.004775607243216072,-0.01603085646933673,0.005663583121085007,0.44921875,10,10000,20260925,,,,0.8984375
Rref,tuwr,CART,0.07442569392861638,0.1138475166269326,-0.03942182269831623,-0.04746466921038955,-0.032157134588706074,0.001953125,10,10000,20260925,,,,0.017578125
Rref,tuwr,LinUCB,0.07442569392861638,0.09350420357653524,-0.019078509647918872,-0.026451981380404024,-0.009941892769261915,0.0078125,10,10000,20260925,,,,0.0234375
Rref,tuwr,LinUCB (pre-period initialization),0.07442569392861638,0.08238338214107561,-0.007957688212459246,-0.026824171792892742,0.012290911158398529,0.455078125,10,10000,20260925,,,,0.8984375
R10,mean_errf,Static,3.2893618361991512,3.6824185597712478,-0.39305672357209664,-0.41116861000625937,-0.37284436565946305,0.001953125,10,10000,20260925,-10.67387417242741,-11.300245112224934,-10.029902162725442,0.017578125
R10,mean_errf,ACI,3.2893618361991512,3.360446079282282,-0.07108424308313074,-0.07376731739484992,-0.06840660771963036,0.001953125,10,10000,20260925,-2.1153216390340956,-2.173970962668064,-2.056637744569974,0.017578125
R10,mean_errf,AgACI,3.2893618361991512,3.319931171790144,-0.030569335590992397,-0.039837476880454824,-0.02099348999786863,0.001953125,10,10000,20260925,-0.9207822093043383,-1.245025304609168,-0.6103472669229357,0.017578125
R10,mean_errf,EnbPI-RH,3.2893618361991512,3.5902738310352404,-0.30091199483608866,-0.31995323835559286,-0.28264655287821994,0.001953125,10,10000,20260925,-8.381310423593025,-8.620752195058772,-8.188179067947509,0.017578125
R10,mean_errf,TSC,3.2893618361991512,3.3903232214633805,-0.10096138526422864,-0.11026081513067643,-0.09112635470411515,0.001953125,10,10000,20260925,-2.977928022468923,-3.1315263910631828,-2.7966264869778197,0.017578125
R10,mean_errf,EEE,3.2893618361991512,3.4006630649300136,-0.11130122873086253,-0.1196075371683919,-0.10252216270073657,0.001953125,10,10000,20260925,-3.2729272675872334,-3.4171192599152587,-3.1192247527097936,0.017578125
R10,mean_errf,CART,3.2893618361991512,3.3425248074229694,-0.05316297122381752,-0.0622980849218496,-0.044279884692725084,0.001953125,10,10000,20260925,-1.5905034154348074,-1.8080492603108516,-1.3618720118055518,0.017578125
R10,mean_errf,LinUCB,3.2893618361991512,3.3509149453425744,-0.06155310914342245,-0.0737418778685432,-0.05113452535027268,0.001953125,10,10000,20260925,-1.8369045513666582,-2.146469300671597,-1.5679365288499771,0.017578125
R10,mean_errf,LinUCB (pre-period initialization),3.2893618361991512,3.368912880128817,-0.07955104392966587,-0.1081926866881054,-0.054805150312048474,0.001953125,10,10000,20260925,-2.361326836288624,-3.1314379682929716,-1.6745780170513336,0.017578125
R10,tuwr,Static,0.05505049544758085,0.29536959294357634,-0.2403190974959955,-0.2768221165021522,-0.20105800175179306,0.001953125,10,10000,20260925,,,,0.017578125
R10,tuwr,ACI,0.05505049544758085,0.012938352247251558,0.04211214320032929,0.03687593368867358,0.04771962843664032,0.001953125,10,10000,20260925,,,,0.017578125
R10,tuwr,AgACI,0.05505049544758085,0.013179207396198286,0.041871288051382564,0.03669089248476217,0.04744017841152656,0.001953125,10,10000,20260925,,,,0.017578125
