price_id,subset,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor_pct,delta_ERRF_pct,delta_ERRF_pct_CI_low,delta_ERRF_pct_CI_high,delta_TUWR_pp,delta_TUWR_pp_CI_low,delta_TUWR_pp_CI_high,delta_below_floor_pp,delta_below_floor_pp_CI_low,delta_below_floor_pp_CI_high,delta_ERRF_exact_p,delta_below_floor_exact_p,delta_capacity_contribution_pct,delta_exceedance_contribution_pct
R05P6179775281,sparse_nonempty,CLARA,2.4968549901400579,1.5179315013861823,0.9789234887538758,0.64377702460968489,0.42550028765867898,0.11119465779976948,0.6340338490259213,0.11237602965193996,0.0083509276513921444,0.10402510200054779,0.66292137727290268,12.931764862917671,0,0,0,0,0,0,0,0,0,1,1,0,0
R05P6179775281,sparse_nonempty,NO_BACKOFF_EXACT,2.5222193378302058,1.5380785632131488,0.9841407746170574,0.64287143908133404,0.43115957468872584,0.10282462953649249,0.6316239541737162,0.11035040618915064,0.007699634482014865,0.10265077170713577,0.65836298017619055,12.657368421616095,1.0158518532437988,0.81289669496394656,1.2370637905579245,-0.83700282632769663,-1.1888294657627254,-0.45721909572315139,-0.27439644130157631,-1.4135688472088872,0.9423061421971306,0.001953125,0.6484375,0.80689755338320424,0.20895429986059946
R05P6179775281,supported,CLARA,2.5830688870580429,1.6288742601537751,0.95419462690426682,0.66456582684675869,0.45672874903925242,0.069007660389472383,0.49560857194648744,0.088945709280523547,0.0085713920287866473,0.080374317251736882,0.67509669143334361,1.5921582292702061,0,0,0,0,0,0,0,0,0,1,1,0,0
R05P6179775281,supported,NO_BACKOFF_EXACT,2.5830688870580429,1.6288742601537751,0.95419462690426682,0.66456582684675869,0.45672874903925242,0.067331526095132987,0.49419578810703885,0.088145274327762799,0.0083812850505031976,0.079763989277259556,0.67509669143334361,1.5921582292702061,0,0,0,-0.16761342943393884,-0.24815889878380853,-0.090968207395701398,0,0,0,1,1,0,0
R10,empty,CLARA,3.3607219331806784,1.4753088505060989,1.8854130826745787,0.63616709803948934,0.41366904307335639,0.083271171523860835,0.72357110816392467,0.12076691568839253,0.0055135513065382794,0.11525336438185425,0.66043289673005567,18.014161458203244,0,0,0,0,0,0,0,0,0,1,1,0,0
R10,empty,NO_BACKOFF_EXACT,3.7953435262129487,1.1841217180960442,2.6112218081169045,0.51884974517420879,0.33187490475592507,0.087527591418926409,0.6649267467162091,0.10400692428535696,0.0059785159283267976,0.098028408357030167,0.66299088823829955,49.916576725329136,12.932387792670873,11.424239554606316,14.558026066895183,0.42564198950655757,-0.058168106100686574,0.92067358623870688,31.902415267125889,27.960351242589894,36.176115665368208,0.001953125,0.001953125,-8.6644220557238256,21.59680984839471
R10,nonempty,CLARA,3.2939299932393831,1.6662233206697639,1.6277066725696201,0.67909946917719477,0.46721578215135001,0.054259955546798619,0.58327871945584464,0.10184340027400747,0.0055125050057084294,0.096330895268299008,0.67529878069838367,0.68181818181818177,0,0,0,0,0,0,0,0,0,1,1,0,0
R10,nonempty,NO_BACKOFF_EXACT,3.2969290532363864,1.6693436018286143,1.6275854514077728,0.6792332947954367,0.46809226562293721,0.051513787552434707,0.57953982911124224,0.10044099080323601,0.0052906367377274664,0.095150354065508508,0.67476497482977538,0.3636363636363637,0.091048079441846674,0.074356433639905517,0.10591400714369759,-0.27461679943639034,-0.37409528235847378,-0.18003639408167454,-0.31818181818181812,-0.5454545454545453,-0.090909090909090912,0.001953125,0.0625,0.094728217213318047,-0.0036801377714802087
R10,sparse_nonempty,CLARA,3.2418029309813838,1.5625585208177977,1.6792444101635862,0.65843231297526272,0.43803646314730849,0.099299536056545651,0.67729138830136226,0.12113496243967177,0.0068343655607776112,0.11430059687889416,0.66465320310562626,10.601110638158403,0,0,0,0,0,0,0,0,0,1,1,0,0
R10,sparse_nonempty,NO_BACKOFF_EXACT,3.269956625139649,1.575460650205037,1.6944959749346118,0.6554922217287944,0.44166065679540945,0.090601525854098724,0.66900748354963124,0.11777997027446921,0.0061365804105325298,0.1116433898639367,0.65637340060776872,9.6112324664647453,0.86845791547676132,0.72671452747633869,1.0133087196032731,-0.86980102024469352,-1.1228488705361694,-0.61639057124594765,-0.98987817169365577,-2.1066371738053133,0.27510036779980807,0.001953125,0.16796875,0.39799240305250461,0.47046551242424089
R10,supported,CLARA,3.3088720297770289,1.679114738544762,1.629757291232266,0.68007295298016035,0.47084126812835914,0.04865871740249636,0.56945590559519021,0.098678789511116,0.0052908453423390085,0.093387944168776979,0.67783264404168386,0.4549605645496056,0,0,0,0,0,0,0,0,0,1,1,0,0
R10,supported,NO_BACKOFF_EXACT,3.3088720297770289,1.679114738544762,1.629757291232266,0.68007295298016035,0.47084126812835914,0.047973238498877961,0.56701319556908614,0.097703688696486241,0.0052224331683456719,0.09248125552814053,0.67783264404168386,0.4549605645496056,0,0,0,-0.068547890361839933,-0.11527083504033997,-0.0244627944499059,0,0,0,1,1,0,0
