price_id,regime,method,changed_fraction,delta_ERRF_contribution,delta_capacity_contribution,delta_exceedance_contribution,delta_covered_contribution,delta_width_contribution
R01,ordinary,NO_BACKOFF_EXACT,0.082779010487027072,0.0026937098602546851,0.0031632081417570256,-0.00046949828150234015,0.00094546518467502044,0.0008885416128530969
R01,ordinary,NO_G,0.21238464159618511,-0.013496052960844173,-0.016672720579267226,0.0031766676184230508,-0.0054351860256694482,-0.004683348477322255
R01,ordinary,NO_RWG,0.31884908958054659,-0.021043096879381516,-0.024827213426340661,0.0037841165469591461,-0.0073888021599272866,-0.0069739363557136695
R01,ordinary,NO_SCREEN,0.22486914638143501,-0.030769777677941111,-0.038670838183693712,0.0079010605057525992,-0.012242674919312699,-0.01086259499541958
R01,ordinary,WIDTH_ONLY,0.60380890644340324,-0.082232537985235415,-0.10219456775205124,0.019962029766815822,-0.036864568650197396,-0.028706339256194164
R01,ordinary,WIDTH_SAME_SCREEN,0.62363836219614277,-0.056655150011033384,-0.070721510410984526,0.014066360399951128,-0.026809142334491332,-0.019865592812074302
R01,overall,FIX_REFERENCE_PRICE,0.70799644089410951,0.13093271634606257,0.17614802004975749,-0.045215303703694934,0.072692969714277411,0.049479780912853266
R01,overall,GLOBAL_SCORE_SAME_SCREEN,0.11607604071810637,-0.0047176927671886285,-0.0054254835880596887,0.00070779082087106321,-0.00041354350410172509,-0.0015240122438369929
R01,overall,NO_BACKOFF_EXACT,0.079503657261284652,0.0044569125393230363,0.0055396671754386773,-0.0010827546361156383,0.0016602716928819025,0.0015560862852355829
R01,overall,NO_G,0.28349828558686957,-0.016182748559322214,-0.019548336455621384,0.0033655878962991692,-0.0057743865617192929,-0.0054911057459610625
R01,overall,NO_RWG,0.38928034446775739,-0.045199068172388432,-0.057256911505376283,0.012057843332987853,-0.018656422020317996,-0.016083402108251765
R01,overall,NO_SCREEN,0.35156816876488572,-0.05925863505371156,-0.07701528839316818,0.017756653339456595,-0.025138481538837205,-0.021633507975609041
R01,overall,WIDTH_ONLY,0.62770837032009175,-0.10579087160202516,-0.13572723111098797,0.029936359508962805,-0.046398237731746658,-0.03812562671656964
R01,overall,WIDTH_SAME_SCREEN,0.57452290568827746,-0.052929887136950481,-0.067463446040530367,0.01453355890357988,-0.023677071704031615,-0.018950406191160209
R01,ramp,FIX_REFERENCE_PRICE,0.73409084786467538,0.1597027037534437,0.21533669048171972,-0.055633986728276033,0.076444109371543029,0.060487834404977472
R01,ramp,GLOBAL_SCORE_SAME_SCREEN,0.085993330405752799,-0.0031091845629041921,-0.0035423538121175636,0.00043316924921337266,-8.4773079461164655e-05,-0.00099504320565100201
R01,ramp,NO_BACKOFF_EXACT,0.10105915156956717,0.0041548787984931022,0.0052337316592755536,-0.0010788528607824509,0.0013134591675582512,0.0014701493424931326
R01,ramp,NO_G,0.36405847119969514,-0.018182084788910563,-0.02133196774678588,0.0031498829578753113,-0.0052682267744135142,-0.0059921257715690674
R01,ramp,NO_RWG,0.53381505907052473,-0.089475059583426469,-0.11592840926468362,0.026453349681257142,-0.040190314680207603,-0.032564159905810006
R01,ramp,NO_SCREEN,0.536411146650142,-0.10590622849571807,-0.1388919851924855,0.032985756696767413,-0.047377454681956643,-0.039014602582158844
R01,ramp,WIDTH_ONLY,0.70267068327546345,-0.14951093384313996,-0.19494902306635903,0.045438089223219083,-0.066004947598771818,-0.054760961535494111
R01,ramp,WIDTH_SAME_SCREEN,0.50825386375125148,-0.051540864572015496,-0.06705636447275036,0.01551549990073486,-0.021621279586496792,-0.018836057436165832
R02,ordinary,FIX_REFERENCE_PRICE,0.62897694391535919,0.057867134463184887,0.11841780358551449,-0.060550669122329571,0.058680387663399149,0.033263427973459124
R02,ordinary,GLOBAL_SCORE_SAME_SCREEN,0.15264949382728726,-0.0058382653959613831,-0.0091049560212802354,0.0032666906253188514,-0.0012763181057873075,-0.0025575719160899546
