zone_or_farm,price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor
zone9,R10,ramp,CLARA,3.4833849485798307,1.7669601481585773,1.716424800421251,0.66907896832472191,0.49555595084477788,0.046097809295759858,0.59306610587132358,0.1043735922041511,0.0044158717827975751,0.099957720421353508,0.72022102162562218,0.036363636363636362
zone9,R10,ramp,FEASIBLE_STATE_ORACLE,3.4489545774422909,1.7622772864758272,1.6866772909664618,0.67061321447446876,0.49424054025973591,0.044173894201744647,0.59924283571163428,0.10717884481917815,0.0042780946710305294,0.10290075014814762,0.7158237485604112,0.022727272727272728
zone9,R10,ramp,FIX_REFERENCE_PRICE,3.4984105723439938,1.7057395454762503,1.7926710268677415,0.65275508197042686,0.47835915233850623,0.062155369006360851,0.51600947770979089,0.093539489216507968,0.0072982455530748403,0.086241243663433095,0.71598021756867569,0.068181818181818177
zone9,R10,ramp,GLOBAL_SCORE_SAME_SCREEN,3.5124108425615348,1.8644066026288317,1.6480042399326975,0.68613347305381689,0.52292855041507424,0.015934159444494743,0.68826060692519508,0.11741737140175545,0.001343575548381675,0.11607379585337378,0.72517329659102803,0.0090909090909090905
zone9,R10,ramp,NO_BACKOFF_EXACT,3.4895132580154042,1.7627848000165374,1.7267284579988644,0.6676135739443152,0.4943831002430813,0.045426166091347003,0.59012193671277646,0.10324035834095498,0.0043892443896018964,0.098851113951353056,0.72014846252319542,0.040909090909090909
zone9,R10,ramp,NO_G,3.4732561561489566,1.7768641572886943,1.6963919988602607,0.67268522290800226,0.49833797588132761,0.048822625437412073,0.60608039068163411,0.10870639578319553,0.0048118774329811761,0.10389451835021435,0.71941425880356047,0.036363636363636362
zone9,R10,ramp,NO_RWG,3.4577036386490327,1.7111528530078204,1.7465507856412106,0.65919204166364698,0.47987974434175629,0.075568600415244089,0.58816868725278126,0.11019568186925756,0.0078033385200333358,0.10239234334922422,0.72542421211558583,0.13636363636363635
zone9,R10,ramp,NO_SCREEN,3.4741197046620336,1.7434431043083818,1.73067660035365,0.6651011667952299,0.48895003965090278,0.062751583848179276,0.58148662095454073,0.10466919392295948,0.0062850989465191853,0.098384094976440281,0.72512048877557478,0.086363636363636365
zone9,R10,ramp,OUTCOME_ORACLE,2.9792330992946838,1.5692146962698044,1.4100184030248786,0.68408197632626011,0.44000947559512266,0.0097470435692015023,0.70713506932743275,0.11899849473501507,0.00083652212222202853,0.11816197261279303,0.60111461200105953,0.018181818181818181
zone9,R10,ramp,STATE_ORACLE,3.4184988906774829,1.7137380344455846,1.7047608562318968,0.66267340344110293,0.48060591890292614,0.074575555789067258,0.57821839886741255,0.10768410474731263,0.0072971037878687946,0.10038700095944383,0.71935819930012446,0.11818181818181818
zone9,R10,ramp,WIDTH_ONLY,4.0645783436454517,1.3053688725935735,2.7592094710518777,0.50897711452875016,0.36589548018045104,0.37337147970711854,0.079325336722098752,0.067075075176836557,0.053828304921412981,0.013246770255423573,0.74134975806802628,0.76818181818181819
zone9,R10,ramp,WIDTH_SAME_SCREEN,3.8082816629550487,1.5220404707295425,2.2862411922255048,0.582232448879761,0.42675828864561088,0.15842665134755027,0.16325036111285665,0.048444118943621994,0.022372887170481134,0.026071231773140836,0.71565368512716321,0.25454545454545452
zone9,R20,ordinary,CLARA,4.3503180917445832,1.4553176788143498,2.8950004129302327,0.7008690659042065,0.40782381776756199,0.022295442194513352,0.67640400803185652,0.11904247052891502,0.0019845932956642719,0.11705787723325076,0.59595713732062461,0.0045454545454545452
zone9,R20,ordinary,FEASIBLE_STATE_ORACLE,4.241164473363555,1.4730634123603557,2.7681010610031977,0.70930830061746686,0.41280857438160856,0.020355018853323009,0.69585559048700829,0.12337026836942261,0.0016638188658240458,0.12170644950359856,0.59197336424247793,0
zone9,R20,ordinary,FIX_REFERENCE_PRICE,4.4419063565845391,1.3777003877439067,3.064205968840632,0.68079166190588325,0.38602120791631384,0.043541959087362872,0.56649294749528867,0.10180678246074851,0.0049976115975543765,0.096809170863194113,0.58835739531672215,0.0045454545454545452
zone9,R20,ordinary,GLOBAL_SCORE_SAME_SCREEN,4.3103611691717729,1.5482111218927777,2.7621500472789933,0.71342906776528681,0.43391748155363763,0.01278629996407483,0.72151736364211005,0.1264915653190915,0.00098310245945304941,0.12550846285963846,0.60611437389913936,0.0045454545454545452
zone9,R20,ordinary,NO_BACKOFF_EXACT,4.3620014326605148,1.4541152683921168,2.9078861642683975,0.69967764647520425,0.40748606203097965,0.021842761152511533,0.67357131876088672,0.11791725044912263,0.0019724769079945996,0.115944773541128,0.59580605791881558,0.0045454545454545452
zone9,R20,ordinary,NO_G,4.3149545091839103,1.4642055173874073,2.8507489917965017,0.70450433833008053,0.41032040163639838,0.022076187760081689,0.68731213801788571,0.12164484886137185,0.0019022234576379395,0.1197426254037339,0.59629521656881201,0.0045454545454545452
zone9,R20,ordinary,NO_RWG,4.2792938406447218,1.4797258581768646,2.7995679824678561,0.70895579488228033,0.41468004792557167,0.034646317019640188,0.68791456058575151,0.1243107247769084,0.0029124074391239886,0.1213983173377844,0.5982356138873629,0.0045454545454545452
zone9,R20,ordinary,NO_SCREEN,4.3560174035865602,1.4416543710027592,2.9143630325837999,0.6988674182191511,0.40398580995531741,0.028662420688526841,0.671329312881769,0.11866173466980022,0.0025283735387197155,0.1161333611310805,0.59560428121121212,0.0090909090909090905
zone9,R20,ordinary,OUTCOME_ORACLE,3.6757991683415954,1.3127337868770599,2.3630653814645339,0.73653043476089985,0.36777216272899727,0.0062711460349852829,0.78292099224489831,0.14662473971458198,0.00042177065467240165,0.14620296905990959,0.50571953937618919,0
zone9,R20,ordinary,STATE_ORACLE,4.2172371083272839,1.4542864733386855,2.7629506349885973,0.70824430271171512,0.40753415330810566,0.029413726953059653,0.68545414335077448,0.12326968492642734,0.0024146460090169321,0.12085503891741041,0.58780388885028756,0
zone9,R20,ordinary,WIDTH_ONLY,5.210599742646437,1.1530838602174136,4.0575158824290227,0.58344223566574294,0.32292667771224265,0.30191603227705915,0.11709274078535356,0.061632935777421585,0.043485099546633592,0.018147836230788,0.59396544305247334,0.22727272727272727
zone9,R20,ordinary,WIDTH_SAME_SCREEN,4.9779178339058632,1.2519178460932741,3.7259999878125876,0.61345722812443726,0.35068903329534962,0.086064221931197379,0.24365096918149726,0.050381990548591264,0.01292330209613927,0.037458688452451983,0.58672666695499254,0.022727272727272728
zone9,R20,overall,CLARA,4.6297360329070969,1.6100711697273959,3.0196648631797007,0.69665809843108584,0.45127766043134881,0.02706820405106776,0.65545590174581481,0.11409880111413351,0.0024483675020510473,0.11165043361208246,0.64416772514650866,0
zone9,R20,overall,FEASIBLE_STATE_ORACLE,4.5559144538662597,1.6208854426679562,2.9350290111983037,0.70193354363350213,0.45431537754948381,0.024646840006591987,0.67744446089715571,0.11853878218727081,0.0020226637267386507,0.11651611846053216,0.64055947837924176,0
