zone_or_farm,predictor,horizon_steps,target_coverage,method,coverage,TUWR,width,overall_gap_pp,TUWR_pct
zone1,GBR,1,0.98999999999999999,EnbPI-RH,0.99172610556348084,0.0017974835230676999,0.75330072113579216,0.1726105563480739,0.1797483523067705
zone1,GBR,1,0.98999999999999999,TSC,0.99343794579172595,0,0.764220015567873,0.34379457917260708,0
zone1,GBR,1,0.98999999999999999,EEE,0.99115549215406562,0.0311563810665068,0.76163678053761341,0.11554921540656291,3.1156381066506889
zone1,MLP,1,0.10000000000000001,Static,0.093961008083689901,0.21010585180746949,0.0191504394170675,-0.60389919163100336,21.010585180746958
zone1,MLP,1,0.10000000000000001,ACI,0.20855920114122681,0,0.056495499581901601,10.85592011412268,0
zone1,MLP,1,0.10000000000000001,AgACI,0.25496909177365662,0,0.072127236531632097,15.496909177365668,0
zone1,MLP,1,0.10000000000000001,EnbPI-RH,0.12135045173561571,0.053125624126223202,0.026212539488417601,2.1350451735615783,5.3125624126223281
zone1,MLP,1,0.10000000000000001,TSC,0.1860199714693295,0,0.048247507390588897,8.6019971469329519,0
zone1,MLP,1,0.10000000000000001,EEE,0.16728483119353299,0,0.043496428754754603,6.7284831193533039,0
zone1,MLP,1,0.20000000000000001,Static,0.17318116975748921,0.3261433992410625,0.039276230914169499,-2.6818830242510723,32.614339924106247
zone1,MLP,1,0.20000000000000001,ACI,0.32201616737993338,0,0.093167614403613194,12.201616737993342,0
zone1,MLP,1,0.20000000000000001,AgACI,0.3669995244888255,0,0.1108535704564565,16.699952448882549,0
zone1,MLP,1,0.20000000000000001,EnbPI-RH,0.2180694246314788,0.15717994807269819,0.052168658702494597,1.8069424631478843,15.717994807269822
zone1,MLP,1,0.20000000000000001,TSC,0.2956728483119353,0,0.083005155629251606,9.5672848311935343,0
zone1,MLP,1,0.20000000000000001,EEE,0.26657156443176411,0,0.073866518619183905,6.6571564431764152,0
zone1,MLP,1,0.29999999999999988,Static,0.25335235378031379,0.3958458158577991,0.060427691015995003,-4.6647646219686143,39.584581585779915
zone1,MLP,1,0.29999999999999988,ACI,0.42272943414170228,0,0.1271378112245653,12.272943414170234,0
zone1,MLP,1,0.29999999999999988,AgACI,0.45972420351878263,0,0.14713735716084911,15.97242035187827,0
zone1,MLP,1,0.29999999999999988,EnbPI-RH,0.31583452211126961,0.20800878769722381,0.078825360764263303,1.5834522111269622,20.800878769722388
zone1,MLP,1,0.29999999999999988,TSC,0.39714693295292441,0,0.11626208396305381,9.7146932952924399,0
zone1,MLP,1,0.29999999999999988,EEE,0.36329053732762712,0.0091871380067904008,0.1033820550414183,6.3290537327627181,0.91871380067904918
zone1,MLP,1,0.40000000000000002,Static,0.33846885401806942,0.42410625124825241,0.084265132775020402,-6.1531145981930599,42.410625124825245
zone1,MLP,1,0.40000000000000002,ACI,0.51488349976224435,0,0.16085401917183481,11.488349976224445,0
zone1,MLP,1,0.40000000000000002,AgACI,0.55035663338088425,0,0.1824814275539563,15.035663338088431,0
zone1,MLP,1,0.40000000000000002,EnbPI-RH,0.41198288159771751,0.21709606550828831,0.1098388344161397,1.1982881597717543,21.709606550828841
zone1,MLP,1,0.40000000000000002,TSC,0.49614835948644792,0,0.1501503496989805,9.6148359486447905,0
zone1,MLP,1,0.40000000000000002,EEE,0.45173561578697091,0.0329538645895745,0.13435985347923779,5.173561578697095,3.2953864589574602
zone1,MLP,1,0.5,Static,0.42634331906799811,0.4740363491112442,0.1128089963472744,-7.3656680932001892,47.403634911124421
zone1,MLP,1,0.5,ACI,0.60218735140275792,0,0.1978068931692297,10.218735140275792,0
zone1,MLP,1,0.5,AgACI,0.63214455539705183,0,0.21684663961948919,13.214455539705185,0
zone1,MLP,1,0.5,EnbPI-RH,0.51003328578221585,0.23357299780307561,0.14397837046875711,1.0033285782215853,23.357299780307567
zone1,MLP,1,0.5,TSC,0.58811222063718493,0,0.1869713282354438,8.8112220637184926,0
zone1,MLP,1,0.5,EEE,0.54227294341417021,0.054423806670660997,0.16786022490118729,4.2272943414170205,5.4423806670661072
zone1,MLP,1,0.59999999999999987,Static,0.52097004279600556,0.5031955262632315,0.14608507470189011,-7.9029957203994305,50.319552626323151
zone1,MLP,1,0.59999999999999987,ACI,0.69186875891583455,0,0.23756530832883149,9.1868758915834565,0
zone1,MLP,1,0.59999999999999987,AgACI,0.71279125059438886,0,0.25939012748197993,11.279125059438901,0
zone1,MLP,1,0.59999999999999987,EnbPI-RH,0.60485021398002847,0.24176153385260629,0.18287121999202571,0.48502139800286048,24.176153385260637
zone1,MLP,1,0.59999999999999987,TSC,0.680266286257727,0,0.226892081183312,8.0266286257727,0
