zone,price_id,target_predictor,source_predictor,ERRF
zone2,R20,QRLSTM,MLP,4.7983539461265785
zone2,R20,QRLSTM,QRLSTM,4.776961864533701
zone2,R20,QRLSTM,Ridge,4.828161288127167
zone2,R20,Ridge,GBR,4.452263199779629
zone2,R20,Ridge,MLP,4.431285830853378
zone2,R20,Ridge,QRLSTM,4.449551335201797
zone2,R20,Ridge,Ridge,4.462686742480554
zone3,R01,GBR,GBR,1.6638771024442796
zone3,R01,GBR,MLP,1.6805093684874604
zone3,R01,GBR,QRLSTM,1.671131605806412
zone3,R01,GBR,Ridge,1.6675868480988918
zone3,R01,MLP,GBR,1.581251642826029
zone3,R01,MLP,MLP,1.5973814691328148
zone3,R01,MLP,QRLSTM,1.5821476645200052
zone3,R01,MLP,Ridge,1.5793885023956147
zone3,R01,QRLSTM,GBR,1.6090464845546761
zone3,R01,QRLSTM,MLP,1.6297557926908564
zone3,R01,QRLSTM,QRLSTM,1.612853296301708
zone3,R01,QRLSTM,Ridge,1.6143555725980154
zone3,R01,Ridge,GBR,1.654318671357513
zone3,R01,Ridge,MLP,1.6677982164343697
zone3,R01,Ridge,QRLSTM,1.6596417486432826
zone3,R01,Ridge,Ridge,1.6487404418196456
zone3,R02,GBR,GBR,1.8818487069785104
zone3,R02,GBR,MLP,1.8966361899755206
zone3,R02,GBR,QRLSTM,1.8894417468507834
zone3,R02,GBR,Ridge,1.8832887177932338
zone3,R02,MLP,GBR,1.845058438356119
zone3,R02,MLP,MLP,1.8579414709949178
zone3,R02,MLP,QRLSTM,1.8455749412931242
zone3,R02,MLP,Ridge,1.8401526715235696
zone3,R02,QRLSTM,GBR,1.8701921655805287
zone3,R02,QRLSTM,MLP,1.8878114800147545
zone3,R02,QRLSTM,QRLSTM,1.8740237131430593
zone3,R02,QRLSTM,Ridge,1.871980851535026
zone3,R02,Ridge,GBR,1.8830758057503636
zone3,R02,Ridge,MLP,1.893779338595572
zone3,R02,Ridge,QRLSTM,1.886675249188738
zone3,R02,Ridge,Ridge,1.8756054395836748
zone3,R05P6179775281,GBR,GBR,2.5613526216375813
